Fehlercode,Fehlertyp,Mögliche Ursache,Lösung
E25,Elektronische Überlast,"Überlastalarm-Schwellwert laut Einstellung erreicht","Alarm-Schwellwerte prüfen (P-Gruppe)"
E27,Parameter Upload Fehler,"Keypad-Kabel Verbindung schlecht oder zu lang","Kabel prüfen, EMV-Störungen beseitigen"
E28,Parameter Download Fehler,"Keypad-Daten korrupt oder Version ungleich","Softwareversionen vergleichen, Hardware prüfen"
E30,Ethernet Kommunikation,"Keine Datenübertragung zum Host/PLC","Netzwerkkabel und Modul-Sitz prüfen"
E32,Erdschluss (Short-circuit),"Ausgang gegen Erde kurzgeschlossen, Motorleistung unpassend","Motor und Kabel auf Erdschluss prüfen, Motorparameter resetten"
E34,Geschwindigkeitsabweichung,"Last zu schwer, Motor blockiert, Parameter falsch","Last prüfen, ACC/DEC Zeiten anpassen, Tuning wiederholen"
E35,Einstellungsfehler (Mal-adj),"Motorparameter ungenau, Motor nicht verbunden","Autotuning wiederholen, Verkabelung prüfen"
E36,Unterlast,"Last abgefallen (z.B. Keilriemenriss)","Mechanik prüfen, Unterlast-Schwellwert prüfen"
E40,STO (Safe Torque Off),"STO-Funktion durch externe Kraft aktiviert","Sicherheitskreis prüfen (Not-Aus gedrückt?)"
E41,STO Kanal 1 Fehler,"STO Verkabelung fehlerhaft oder Switch defekt","Verkabelung STO-Kanal 1 prüfen, Board tauschen"
E42,STO Kanal 2 Fehler,"STO Verkabelung fehlerhaft oder Switch defekt","Verkabelung STO-Kanal 2 prüfen, Board tauschen"
E43,STO Kanal 1 & 2 Fehler,"Hardwarefehler im STO-Schaltkreis","Steuerkarte/Driveboard tauschen (Repower erforderlich)"
E44,STO Flash CRC Fehler,"CRC-Prüffehler im Sicherheits-Flash","Driveboard ersetzen"
E57,Profinet Timeout,"Verbindung zur SPS verloren","PN-Kabel und Bus-Status am Master prüfen"
E59,Motor Übertemperatur,"Umgebung zu heiß, AI-Signal falsch, DI4-Signal aktiv","Kühlung prüfen, Temperatursensor (Widerstand) prüfen"
E60,Karten-Erkennungsfehler,"Erweiterungskarte wird nicht identifiziert","Slot prüfen, Karte fest einstecken, Kompatibilität prüfen"
E63,Karten-Timeout,"Keine interne Kommunikation zur Erweiterungskarte","Karte und Slot auf Beschädigung prüfen"
E66,EtherCAT Timeout,"Verbindung zum EtherCAT-Master unterbrochen","Netzwerkkabel und EtherCAT-Masterstatus prüfen"
E92,AI1 Signalverlust,"Eingangssignal AI1 zu niedrig oder Kabelbruch","Verkabelung und 5V/10mA Quelle prüfen"
E93,AI2 Signalverlust,"Eingangssignal AI2 zu niedrig oder Kabelbruch","Verkabelung prüfen"
E94,AI3 Signalverlust,"Eingangssignal AI3 zu niedrig oder Kabelbruch","Verkabelung prüfen"
E95,Ethernet/IP Timeout,"Verbindung zum EIP-Master unterbrochen","Netzwerkkabel und Konfiguration prüfen"
E96,Bootloader fehlt,"Fehler beim Upgrade, Bootloader nicht gefunden","Service kontaktieren"
E587,Dual-CPU Fehler 1,"Fehler in der internen CPU-Kommunikation 1","Service kontaktieren"
E588,Dual-CPU Fehler 2,"Fehler in der internen CPU-Kommunikation 2","Service kontaktieren"
